ArraySize,S,TotalKeyCmp,KeyCmpInsertionSort,Runtime
1000, 1, 8693, 0, 0.8832
1000, 2, 8693, 488, 0.6734
1000, 3, 8693, 531, 0.7266
1000, 4, 8767, 1217, 0.4957
1000, 5, 8767, 1217, 0.5362
1000, 6, 8767, 1217, 0.5338
1000, 7, 8821, 1397, 0.4776
1000, 8, 9130, 2368, 0.4088
1000, 9, 9130, 2368, 0.3607
1000, 10, 9130, 2368, 0.4168
1000, 11, 9130, 2368, 0.3888
1000, 12, 9130, 2368, 0.4534
1000, 13, 9130, 2368, 0.3802
1000, 14, 9130, 2368, 0.3775
1000, 15, 9499, 3051, 0.4068
1000, 16, 10228, 4341, 0.2865
1000, 17, 10228, 4341, 0.3263
1000, 18, 10228, 4341, 0.3815
1000, 19, 10228, 4341, 0.3534
1000, 20, 10228, 4341, 0.2999
1000, 21, 10228, 4341, 0.3179
1000, 22, 10228, 4341, 0.3093
1000, 23, 10228, 4341, 0.4297
1000, 24, 10228, 4341, 0.3362
1000, 25, 10228, 4341, 0.3053
1000, 26, 10228, 4341, 0.3367
1000, 27, 10228, 4341, 0.3239
1000, 28, 10228, 4341, 0.3434
1000, 29, 10228, 4341, 0.3468
1000, 30, 10228, 4341, 0.3091
1000, 31, 12602, 7427, 0.3248
1000, 32, 13395, 8456, 0.3019
1000, 33, 13395, 8456, 0.2826
1000, 34, 13395, 8456, 0.2995
1000, 35, 13395, 8456, 0.284
1000, 36, 13395, 8456, 0.3076
1000, 37, 13395, 8456, 0.3101
1000, 38, 13395, 8456, 0.2747
1000, 39, 13395, 8456, 0.3381
1000, 40, 13395, 8456, 0.3234
1000, 41, 13395, 8456, 0.2604
1000, 42, 13395, 8456, 0.2964
1000, 43, 13395, 8456, 0.3025
1000, 44, 13395, 8456, 0.2626
1000, 45, 13395, 8456, 0.3152
1000, 46, 13395, 8456, 0.3695
1000, 47, 13395, 8456, 0.2797
1000, 48, 13395, 8456, 0.2944
1000, 49, 13395, 8456, 0.2893
1000, 50, 13395, 8456, 0.3301
1000, 51, 13395, 8456, 0.2697
1000, 52, 13395, 8456, 0.2848
1000, 53, 13395, 8456, 0.284
1000, 54, 13395, 8456, 0.2977
1000, 55, 13395, 8456, 0.2761
1000, 56, 13395, 8456, 0.2828
1000, 57, 13395, 8456, 0.2824
1000, 58, 13395, 8456, 0.2837
1000, 59, 13395, 8456, 0.2946
1000, 60, 13395, 8456, 0.2751
1000, 61, 13395, 8456, 0.2773
1000, 62, 16520, 12067, 0.2901
1000, 63, 20248, 16281, 0.3096
1000, 64, 20248, 16281, 0.3301
1000, 65, 20248, 16281, 0.3086
1000, 66, 20248, 16281, 0.3149
1000, 67, 20248, 16281, 0.318
1000, 68, 20248, 16281, 0.317
1000, 69, 20248, 16281, 0.3167
1000, 70, 20248, 16281, 0.3283
1000, 71, 20248, 16281, 0.316
1000, 72, 20248, 16281, 0.3143
1000, 73, 20248, 16281, 0.3188
1000, 74, 20248, 16281, 0.3177
1000, 75, 20248, 16281, 0.3183
1000, 76, 20248, 16281, 0.3186
1000, 77, 20248, 16281, 0.3359
1000, 78, 20248, 16281, 0.3342
1000, 79, 20248, 16281, 0.3084
1000, 80, 20248, 16281, 0.3094
1000, 81, 20248, 16281, 0.3093
1000, 82, 20248, 16281, 0.3149
1000, 83, 20248, 16281, 0.31
1000, 84, 20248, 16281, 0.3367
1000, 85, 20248, 16281, 0.3251
1000, 86, 20248, 16281, 0.316
1000, 87, 20248, 16281, 0.3378
1000, 88, 20248, 16281, 0.3249
1000, 89, 20248, 16281, 0.325
1000, 90, 20248, 16281, 0.3102
1000, 91, 20248, 16281, 0.3244
1000, 92, 20248, 16281, 0.3207
1000, 93, 20248, 16281, 0.3097
1000, 94, 20248, 16281, 0.3148
1000, 95, 20248, 16281, 0.3174
1000, 96, 20248, 16281, 0.3247
1000, 97, 20248, 16281, 0.3448
1000, 98, 20248, 16281, 0.3372
1000, 99, 20248, 16281, 0.3258
1000, 100, 20248, 16281, 0.3466
1000, 101, 20248, 16281, 0.3145
1000, 102, 20248, 16281, 0.3307
1000, 103, 20248, 16281, 0.3099
1000, 104, 20248, 16281, 0.3107
1000, 105, 20248, 16281, 0.3411
1000, 106, 20248, 16281, 0.3098
1000, 107, 20248, 16281, 0.3089
1000, 108, 20248, 16281, 0.3087
1000, 109, 20248, 16281, 0.3258
1000, 110, 20248, 16281, 0.363
1000, 111, 20248, 16281, 0.3456
1000, 112, 20248, 16281, 0.3354
1000, 113, 20248, 16281, 0.3111
1000, 114, 20248, 16281, 0.385
1000, 115, 20248, 16281, 0.3157
1000, 116, 20248, 16281, 0.3107
1000, 117, 20248, 16281, 0.3091
1000, 118, 20248, 16281, 0.3178
1000, 119, 20248, 16281, 0.3092
1000, 120, 20248, 16281, 0.3074
1000, 121, 20248, 16281, 0.3919
1000, 122, 20248, 16281, 0.3612
1000, 123, 20248, 16281, 0.3591
1000, 124, 20248, 16281, 0.3242
1000, 125, 34910, 31923, 0.4405
1000, 126, 34910, 31923, 0.4408
1000, 127, 34910, 31923, 0.5391
1000, 128, 34910, 31923, 0.4346
1000, 129, 34910, 31923, 0.4665
1000, 130, 34910, 31923, 0.4623
1000, 131, 34910, 31923, 0.4554
1000, 132, 34910, 31923, 0.4358
1000, 133, 34910, 31923, 0.4511
1000, 134, 34910, 31923, 0.4584
1000, 135, 34910, 31923, 0.4813
1000, 136, 34910, 31923, 0.4628
1000, 137, 34910, 31923, 0.4811
1000, 138, 34910, 31923, 0.4507
1000, 139, 34910, 31923, 0.4458
1000, 140, 34910, 31923, 0.4356
1000, 141, 34910, 31923, 0.4732
1000, 142, 34910, 31923, 0.4568
1000, 143, 34910, 31923, 0.446
1000, 144, 34910, 31923, 0.4409
1000, 145, 34910, 31923, 0.4409
1000, 146, 34910, 31923, 0.4357
1000, 147, 34910, 31923, 0.4499
1000, 148, 34910, 31923, 0.4663
1000, 149, 34910, 31923, 0.4456
1000, 150, 34910, 31923, 0.4358
1000, 151, 34910, 31923, 0.4578
1000, 152, 34910, 31923, 0.4413
1000, 153, 34910, 31923, 0.4365
1000, 154, 34910, 31923, 0.6065
1000, 155, 34910, 31923, 0.4419
1000, 156, 34910, 31923, 0.4472
1000, 157, 34910, 31923, 0.4507
1000, 158, 34910, 31923, 0.4534
1000, 159, 34910, 31923, 0.4616
1000, 160, 34910, 31923, 0.4505
1000, 161, 34910, 31923, 0.4529
1000, 162, 34910, 31923, 0.4358
1000, 163, 34910, 31923, 0.4964
1000, 164, 34910, 31923, 0.4406
1000, 165, 34910, 31923, 0.4691
1000, 166, 34910, 31923, 0.4602
1000, 167, 34910, 31923, 0.4586
1000, 168, 34910, 31923, 0.4825
1000, 169, 34910, 31923, 0.5142
1000, 170, 34910, 31923, 0.439
1000, 171, 34910, 31923, 0.4847
1000, 172, 34910, 31923, 0.4378
1000, 173, 34910, 31923, 0.4402
1000, 174, 34910, 31923, 0.441
1000, 175, 34910, 31923, 0.4568
1000, 176, 34910, 31923, 0.4807
1000, 177, 34910, 31923, 0.4664
1000, 178, 34910, 31923, 0.4521
1000, 179, 34910, 31923, 0.4583
1000, 180, 34910, 31923, 0.4349
1000, 181, 34910, 31923, 0.5014
1000, 182, 34910, 31923, 0.4413
1000, 183, 34910, 31923, 0.441
1000, 184, 34910, 31923, 0.4836
1000, 185, 34910, 31923, 0.4539
1000, 186, 34910, 31923, 0.4347
1000, 187, 34910, 31923, 0.4505
1000, 188, 34910, 31923, 0.4514
1000, 189, 34910, 31923, 0.456
1000, 190, 34910, 31923, 0.4509
1000, 191, 34910, 31923, 0.4515
1000, 192, 34910, 31923, 0.452
1000, 193, 34910, 31923, 0.4351
1000, 194, 34910, 31923, 0.494
1000, 195, 34910, 31923, 0.4594
1000, 196, 34910, 31923, 0.4458
1000, 197, 34910, 31923, 0.4936
1000, 198, 34910, 31923, 0.4429
